"Index","Name","Abbreviation","StandardName"
1,"هيدروجين","H","Hydrogen"
2,"هيليوم","He","Helium"
3,"ليثيوم","Li","Lithium"
4,"بيريليوم","Be","Beryllium"
5,"بورون","B","Boron"
6,"كربون","C","Carbon"
7,"نيتروجين","N","Nitrogen"
8,"أكسجين","O","Oxygen"
9,"فلور","F","Fluorine"
10,"نيون","Ne","Neon"
11,"صوديوم","Na","Sodium"
12,"مغنيسيوم","Mg","Magnesium"
13,"الومينيوم","Al","Aluminum"
14,"سيلكون","Si","Silicon"
15,"فوسفور","P","Phosphorus"
16,"كبريت","S","Sulfur"
17,"كلور","Cl","Chlorine"
18,"أرجون","Ar","Argon"
19,"بوتاسيوم","K","Potassium"
20,"كلسيوم","Ca","Calcium"
21,"سكانديوم","Sc","Scandium"
22,"تيتانيوم","Ti","Titanium"
23,"فناديوم","V","Vanadium"
24,"كروم","Cr","Chromium"
25,"منجنيز","Mn","Manganese"
26,"حديد","Fe","Iron"
27,"كوبلت","Co","Cobalt"
28,"نيكل","Ni","Nickel"
29,"نحاس","Cu","Copper"
30,"خارصين","Zn","Zinc"
31,"جاليوم","Ga","Gallium"
32,"جرمانيوم","Ge","Germanium"
33,"زرنيخ","As","Arsenic"
34,"سيلينيوم","Se","Selenium"
35,"بروم","Br","Bromine"
36,"كربتون","Kr","Krypton"
37,"روبيديوم","Rb","Rubidium"
38,"سترانشيوم","Sr","Strontium"
39,"يتريوم","Y","Yttrium"
40,"زيركونيوم","Zr","Zirconium"
41,"نيوبيوم","Nb","Niobium"
42,"مولبيدنيوم","Mo","Molybdenum"
43,"تكنيتيوم","Tc","Technetium"
44,"روتينيوم","Ru","Ruthenium"
45,"روديوم","Rh","Rhodium"
46,"بلاديوم","Pd","Palladium"
47,"فضة","Ag","Silver"
48,"كادميوم","Cd","Cadmium"
49,"انديوم","In","Indium"
50,"قصدير","Sn","Tin"
51,"انتيمون","Sb","Antimony"
52,"تيلوريوم","Te","Tellurium"
53,"يود","I","Iodine"
54,"إكسينون","Xe","Xenon"
55,"سيزيوم","Cs","Cesium"
56,"باريوم","Ba","Barium"
57,"لنثانوم","La","Lanthanum"
58,"سيريوم","Ce","Cerium"
59,"براسوديميوم","Pr","Praseodymium"
60,"نيودميوم","Nd","Neodymium"
61,"بروميثيوم","Pm","Promethium"
62,"ساماريوم","Sm","Samarium"
63,"يروبيوم","Eu","Europium"
64,"جدولينيوم","Gd","Gadolinium"
65,"تربيوم","Tb","Terbium"
66,"ديسبروسيوم","Dy","Dysprosium"
67,"هلميوم","Ho","Holmium"
68,"إربيوم","Er","Erbium"
69,"ثليوم","Tm","Thulium"
70,"يتربيوم","Yb","Ytterbium"
71,"لوتيتيوم","Lu","Lutetium"
72,"هفنيوم","Hf","Hafnium"
73,"تنتالم","Ta","Tantalum"
74,"تنجستين","W","Tungsten"
75,"رنيوم","Re","Rhenium"
76,"ازميوم","Os","Osmium"
77,"إريديوم","Ir","Iridium"
78,"بلاتين","Pt","Platinum"
79,"ذهب","Au","Gold"
80,"زئبق","Hg","Mercury"
81,"ثاليوم","Tl","Thallium"
82,"رصاص","Pb","Lead"
83,"بزموث","Bi","Bismuth"
84,"بولونيوم","Po","Polonium"
85,"استاتين","At","Astatine"
86,"رادون","Rn","Radon"
87,"فرنسيوم","Fr","Francium"
88,"راديوم","Ra","Radium"
89,"اكتنيوم","Ac","Actinium"
90,"ثوريوم","Th","Thorium"
91,"بروتكتنيوم","Pa","Protactinium"
92,"يورانيوم","U","Uranium"
93,"نبتونيوم","Np","Neptunium"
94,"بلوتونيوم","Pu","Plutonium"
95,"أمريكيوم","Am","Americium"
96,"كوريوم","Cm","Curium"
97,"بركليوم","Bk","Berkelium"
98,"كاليفورنيوم","Cf","Californium"
99,"انيشتنيوم","Es","Einsteinium"
100,"فرميوم","Fm","Fermium"
101,"مندلفيوم","Md","Mendelevium"
102,"نوبليوم","No","Nobelium"
103,"لورنسيوم","Lr","Lawrencium"
104,"رذرفورديوم","Rf","Rutherfordium"
105,"دبنيوم","Db","Dubnium"
106,"سيبورجيوم","Sg","Seaborgium"
107,"بوريوم","Bh","Bohrium"
108,"هاسيوم","Hs","Hassium"
109,"مايتنريوم","Mt","Meitnerium"
110,"دارمشتاتيوم","Ds","Darmstadtium"
111,"رونتجينيوم","Rg","Roentgenium"
112,"ٲنون بيوم","Cn","Copernicium"
113,"ٲنون يريوم","Nh","Nihonium"
114,"ٲنون كواديوم","Fl","Flerovium"
115,"ٲنون بينتيوم","Mc","Moscovium"
116,"ليفرموريوم","Lv","Livermorium"
117,"ٲنون سيبتيوم","Ts","Tennessine"
118,"ٲنون ٲوكتيوم","Og","Oganesson"
