"Index","Name","Abbreviation","StandardName"
"1","Водород","H","Hydrogenium"
"2","Хелий","He","Helium"
"3","Литий","Li","Lithium"
"4","Берилий","Be","Beryllium"
"5","Бор","B","Borum"
"6","Въглерод","C","Carboneum"
"7","Азот","N","Nitrogenium"
"8","Кислород","O","Oxygenium"
"9","Флуор","F","Fluorum"
"10","Неон","Ne","Neon"
"11","Натрий","Na","Natrium"
"12","Магнезий","Mg","Magnesium"
"13","Алуминий","Al","Aluminium"
"14","Силиций","Si","Silicium"
"15","Фосфор","P","Phosphorus"
"16","Сяра","S","Sulfur"
"17","Хлор","Cl","Chlorum"
"18","Аргон","Ar","Argon"
"19","Калий","K","Kalium"
"20","Калций","Ca","Calcium"
"21","Скандий","Sc","Scandium"
"22","Титан","Ti","Titanium"
"23","Ванадий","V","Vanadium"
"24","Хром","Cr","Chromium"
"25","Манган","Mn","Manganum"
"26","Желязо","Fe","Ferrum"
"27","Кобалт","Co","Cobaltum"
"28","Никел","Ni","Niccolum"
"29","Мед","Cu","Cuprum"
"30","Цинк","Zn","Zincum"
"31","Галий","Ga","Gallium"
"32","Гермаиий","Ge","Germanium"
"33","Арсен","As","Arsenicum"
"34","Селен","Se","Selenium"
"35","Бром","Br","Bromum"
"36","Криптон","Kr","Krypton"
"37","Рубидий","Rb","Rubidium"
"38","Стронций","Sr","Strontium"
"39","Итрий","Y","Yttrium"
"40","Цирконий","Zr","Zirconium"
"41","Ниобий","Nb","Niobium"
"42","Молибден","Mo","Molybdaenum"
"43","Технеций","Tc","Technetium"
"44","Рутений","Ru","Ruthenium"
"45","Родий","Rh","Rhodium"
"46","Палладий","Pd","Palladium"
"47","Сребро","Ag","Argentum"
"48","Кадмий","Cd","Cadmium"
"49","Индий","In","Indium"
"50","Калай","Sn","Stannum"
"51","Антимон","Sb","Stibium"
"52","Телур","Te","Tellurium"
"53","Йод","I","Iodium"
"54","Ксенон","Xe","Xenon"
"55","Цезий","Cs","Caesium"
"56","Барий","Ba","Barium"
"57","Лантан","La","Lanthanum"
"58","Церий","Ce","Cerium"
"59","Празеодим","Pr","Praseodymium"
"60","Ниодим","Nd","Neodymium"
"61","Прометий","Pm","Promethium"
"62","Самарий","Sm","Samarium"
"63","Европий","Eu","Europium"
"64","Гадолиний","Gd","Gadolinium"
"65","Тербий","Tb","Terbium"
"66","Диспросий","Dy","Dysprosium"
"67","Холъмий","Ho","Holmium"
"68","Ербий","Er","Erbium"
"69","Тулий","Tm","Thulium"
"70","Итербий","Yb","Ytterbium"
"71","Лютеций","Lu","Lutetium"
"72","Хафиий","Hf","Hafnium"
"73","Тантал","Ta","Tantalum"
"74","Волфрам","W","Wolframium"
"75","Рений","Re","Rhenium"
"76","Осмий","Os","Osmium"
"77","Иридий","Ir","Iridium"
"78","Платина","Pt","Platinum"
"79","Злато","Au","Aurum"
"80","Живак","Hg","Hydrargyrum"
"81","Таллий","Tl","Thallium"
"82","Олово","Pb","Plumbum"
"83","Бисмут","Bi","Bismuthum"
"84","Полоний","Po","Polonium"
"85","Астатин","At","Astatum"
"86","Радон","Rn","Radon"
"87","Франций","Fr","Francium"
"88","Радий","Ra","Radium"
"89","Актиний","Ac","Actinium"
"90","Торий","Th","Thorium"
"91","Протактиний","Pa","Protactinium"
"92","Уран","U","Uranium"
"93","Нептуний","Np","Neptunium"
"94","Плутоний","Pu","Plutonium"
"95","Америций","Am","Americium"
"96","Кюрий","Cm","Curium"
"97","Берклий","Bk","Berkelium"
"98","Калифорний","Cf","Californium"
"99","Айнштайний","Es","Einsteinium"
"100","Фермий","Fm","Fermium"
"101","Менделевий","Md","Mendelevium"
"102","Нобелий","No","Nobelium"
"103","Лоуренсий, Лавренций","Lr","Lawrencium"
"104","Ръдърфордий","Rf","Rutherfordium"
"105","Дубний","Db","Dubnium"
"106","Зеаборгий","Sg","Seaborgium"
"107","Борий","Bh","Bohrium"
"108","Хасий","Hs","Hassium"
"109","Майтнерий","Mt","Meitnerium"
"110","Дармщадтий","Ds","Darmstadtium"
"111","Рьонтгений","Rg","Roentgenium"
"112","Унунбий","Cn","Copernicium"
"113","Унунтрий","Nh","Nihonium"
"114","Флеровий","Fl","Flerovium"
"115","Унунпентий","Mc","Moscovium"
"116","Ливерморий","Lv","Livermorium"
"117","Унунсептий","Ts","Tennessine"
"118","Унуноктий","Og","Oganesson"
