"Index","Name","Abbreviation","StandardName"
1,"氫","H","Hydrogen"
2,"氦","He","Helium"
3,"鋰","Li","Lithium"
4,"鈹","Be","Beryllium"
5,"硼","B","Boron"
6,"碳","C","Carbon"
7,"氮","N","Nitrogen"
8,"氧","O","Oxygen"
9,"氟","F","Fluorine"
10,"氖","Ne","Neon"
11,"鈉","Na","Sodium"
12,"鎂","Mg","Magnesium"
13,"鋁","Al","Aluminium"
14,"矽","Si","Silicon"
15,"磷","P","Phosphorus"
16,"硫","S","Sulfur"
17,"氯","Cl","Chlorine"
18,"氬","Ar","Argon"
19,"鉀","K","Potassium"
20,"鈣","Ca","Calcium"
21,"鈧","Sc","Scandium"
22,"鈦","Ti","Titanium"
23,"釩","V","Vanadium"
24,"鉻","Cr","Chromium"
25,"錳","Mn","Manganese"
26,"鐵","Fe","Iron"
27,"鈷","Co","Cobalt"
28,"鎳","Ni","Nickel"
29,"銅","Cu","Copper"
30,"鋅","Zn","Zinc"
31,"鎵","Ga","Gallium"
32,"鍺","Ge","Germanium"
33,"砷","As","Arsenic"
34,"硒","Se","Selenium"
35,"溴","Br","Bromine"
36,"氪","Kr","Krypton"
37,"銣","Rb","Rubidium"
38,"鍶","Sr","Strontium"
39,"釔","Y","Yttrium"
40,"鋯","Zr","Zirconium"
41,"鈮","Nb","Niobium"
42,"鉬","Mo","Molybdenum"
43,"鎝","Tc","Technetium"
44,"釕","Ru","Ruthenium"
45,"銠","Rh","Rhodium"
46,"鈀","Pd","Palladium"
47,"銀","Ag","Silver"
48,"鎘","Cd","Cadmium"
49,"銦","In","Indium"
50,"錫","Sn","Tin"
51,"銻","Sb","Antimony"
52,"碲","Te","Tellurium"
53,"碘","I","Iodine"
54,"氙","Xe","Xenon"
55,"銫","Cs","Caesium"
56,"鋇","Ba","Barium"
57,"鑭","La","Lanthanum"
58,"鈰","Ce","Cerium"
59,"鐠","Pr","Praseodymium"
60,"釹","Nd","Neodymium"
61,"鉕","Pm","Promethium"
62,"釤","Sm","Samarium"
63,"銪","Eu","Europium"
64,"釓","Gd","Gadolinium"
65,"鋱","Tb","Terbium"
66,"鏑","Dy","Dysprosium"
67,"鈥","Ho","Holmium"
68,"鉺","Er","Erbium"
69,"銩","Tm","Thulium"
70,"鐿","Yb","Ytterbium"
71,"鑥","Lu","Lutetium"
72,"鉿","Hf","Hafnium"
73,"鉭","Ta","Tantalum"
74,"鎢","W","Tungsten"
75,"錸","Re","Rhenium"
76,"鋨","Os","Osmium"
77,"銥","Ir","Iridium"
78,"鉑","Pt","Platinum"
79,"金","Au","Gold"
80,"汞","Hg","Mercury"
81,"鉈","Tl","Thallium"
82,"鉛","Pb","Lead"
83,"鉍","Bi","Bismuth"
84,"釙","Po","Polonium"
85,"砹","At","Astatine"
86,"氡","Rn","Radon"
87,"鍅","Fr","Francium"
88,"鐳","Ra","Radium"
89,"錒","Ac","Actinium"
90,"釷","Th","Thorium"
91,"鏷","Pa","Protactinium"
92,"鈾","U","Uranium"
93,"鎿","Np","Neptunium"
94,"鈈","Pu","Plutonium"
95,"鎇","Am","Americium"
96,"鋦","Cm","Curium"
97,"錇","Bk","Berkelium"
98,"鐦","Cf","Californium"
99,"鎄","Es","Einsteinium"
100,"鐨","Fm","Fermium"
101,"鍆","Md","Mendelevium"
102,"鍩","No","Nobelium"
103,"鐒","Lr","Lawrencium"
104,"鑪","Rf","Rutherfordium"
105,"𨧀","Db","Dubnium"
106,"𨭎","Sg","Seaborgium"
107,"𨨏","Bh","Bohrium"
108,"𨭆","Hs","Hassium"
109,"䥑","Mt","Meitnerium"
110,"鐽","Ds","Darmstadtium"
111,"錀","Rg","Roentgenium"
112,"鎶","Cn","Copernicium"
113,"鉨","Nh","Nihonium"
114,"鈇","Fl","Flerovium"
115,"鏌","Mc","Moscovium"
116,"鉝","Lv","Livermorium"
117,"鿬","Ts","Tennessine"
118,"鿫","Og","Oganesson"
