"Index","Name","Abbreviation","StandardName"
1,"Wasserstoff","H","Hydrogen"
2,"Helium","He","Helium"
3,"Lithium","Li","Lithium"
4,"Beryllium","Be","Beryllium"
5,"Bor","B","Boron"
6,"Kohlenstoff","C","Carbon"
7,"Stickstoff","N","Nitrogen"
8,"Sauerstoff","O","Oxygen"
9,"Fluor","F","Fluorine"
10,"Neon","Ne","Neon"
11,"Natrium","Na","Sodium"
12,"Magnesium","Mg","Magnesium"
13,"Aluminium","Al","Aluminum"
14,"Silizium","Si","Silicon"
15,"Phosphor","P","Phosphorus"
16,"Schwefel","S","Sulfur"
17,"Chlor","Cl","Chlorine"
18,"Argon","Ar","Argon"
19,"Kalium","K","Potassium"
20,"Kalzium","Ca","Calcium"
21,"Skandium","Sc","Scandium"
22,"Titan","Ti","Titanium"
23,"Vanadium","V","Vanadium"
24,"Chrom","Cr","Chromium"
25,"Mangan","Mn","Manganese"
26,"Eisen","Fe","Iron"
27,"Kobalt","Co","Cobalt"
28,"Nickel","Ni","Nickel"
29,"Kupfer","Cu","Copper"
30,"Zink","Zn","Zinc"
31,"Gallium","Ga","Gallium"
32,"Germanium","Ge","Germanium"
33,"Arsen","As","Arsenic"
34,"Selen","Se","Selenium"
35,"Brom","Br","Bromine"
36,"Krypton","Kr","Krypton"
37,"Rubidium","Rb","Rubidium"
38,"Strontium","Sr","Strontium"
39,"Yttrium","Y","Yttrium"
40,"Zirkonium","Zr","Zirconium"
41,"Niob","Nb","Niobium"
42,"Molybdän","Mo","Molybdenum"
43,"Technetium","Tc","Technetium"
44,"Ruthenium","Ru","Ruthenium"
45,"Rhodium","Rh","Rhodium"
46,"Palladium","Pd","Palladium"
47,"Silber","Ag","Silver"
48,"Kadmium","Cd","Cadmium"
49,"Indium","In","Indium"
50,"Zinn","Sn","Tin"
51,"Antimon","Sb","Antimony"
52,"Tellur","Te","Tellurium"
53,"Jod","I","Iodine"
54,"Xenon","Xe","Xenon"
55,"Zäsium","Cs","Cesium"
56,"Barium","Ba","Barium"
57,"Lanthan","La","Lanthanum"
58,"Zer","Ce","Cerium"
59,"Praseodym","Pr","Praseodymium"
60,"Neodym","Nd","Neodymium"
61,"Promethium","Pm","Promethium"
62,"Samarium","Sm","Samarium"
63,"Europium","Eu","Europium"
64,"Gadolinium","Gd","Gadolinium"
65,"Terbium","Tb","Terbium"
66,"Dysprosium","Dy","Dysprosium"
67,"Holmium","Ho","Holmium"
68,"Erbium","Er","Erbium"
69,"Thulium","Tm","Thulium"
70,"Ytterbium","Yb","Ytterbium"
71,"Lutetium","Lu","Lutetium"
72,"Hafnium","Hf","Hafnium"
73,"Tantal","Ta","Tantalum"
74,"Wolfram","W","Tungsten"
75,"Rhenium","Re","Rhenium"
76,"Osmium","Os","Osmium"
77,"Iridium","Ir","Iridium"
78,"Platin","Pt","Platinum"
79,"Gold","Au","Gold"
80,"Quecksilber","Hg","Mercury"
81,"Thallium","Tl","Thallium"
82,"Blei","Pb","Lead"
83,"Wismut","Bi","Bismuth"
84,"Polonium","Po","Polonium"
85,"Astat","At","Astatine"
86,"Radon","Rn","Radon"
87,"Franzium","Fr","Francium"
88,"Radium","Ra","Radium"
89,"Aktinium","Ac","Actinium"
90,"Thorium","Th","Thorium"
91,"Protaktinium","Pa","Protactinium"
92,"Uran","U","Uranium"
93,"Neptunium","Np","Neptunium"
94,"Plutonium","Pu","Plutonium"
95,"Amerizium","Am","Americium"
96,"Kurium","Cm","Curium"
97,"Berkelium","Bk","Berkelium"
98,"Kalifornium","Cf","Californium"
99,"Einsteinium","Es","Einsteinium"
100,"Fermium","Fm","Fermium"
101,"Mendelevium","Md","Mendelevium"
102,"Nobelium","No","Nobelium"
103,"Lawrencium","Lr","Lawrencium"
104,"Rutherfordium","Rf","Rutherfordium"
105,"Dubnium","Db","Dubnium"
106,"Seaborgium","Sg","Seaborgium"
107,"Bohrium","Bh","Bohrium"
108,"Hassium","Hs","Hassium"
109,"Meitnerium","Mt","Meitnerium"
110,"Darmstadtium","Ds","Darmstadtium"
111,"Röntgenium","Rg","Roentgenium"
112,"Kopernicium","Cn","Copernicium"
113,"Nihonium","Nh","Nihonium"
114,"Flerovium","Fl","Flerovium"
115,"Moscovium","Mc","Moscovium"
116,"Livermorium","Lv","Livermorium"
117,"Tennessine","Ts","Tennessine"
118,"Oganesson","Og","Oganesson"
