"Index","Name","Abbreviation","StandardName"
1,"Ύδρογονο","H","Hydrogen"
2,"Ήλιον","He","Helium"
3,"Λιθιο","Li","Lithium"
4,"Βηρυλλιο","Be","Beryllium"
5,"Βοριο","B","Boron"
6,"Ανθρακας","C","Carbon"
7,"Αζωτο","N","Nitrogen"
8,"Οξυγονο","O","Oxygen"
9,"Φθοριο","F","Fluorine"
10,"Νεον","Ne","Neon"
11,"Νατριο","Na","Sodium"
12,"Μαγνησιο","Mg","Magnesium"
13,"Αργιλιο","Al","Aluminum"
14,"Πυριτιο","Si","Silicon"
15,"Φωσφορος","P","Phosphorus"
16,"Θειο","S","Sulfur"
17,"Χλωριο","Cl","Chlorine"
18,"Αργο","Ar","Argon"
19,"Καλιο","K","Potassium"
20,"Ασβεστιο","Ca","Calcium"
21,"Σκανdιο","Sc","Scandium"
22,"Τιτανιο","Ti","Titanium"
23,"Βαναdιο","V","Vanadium"
24,"Χρωμιο","Cr","Chromium"
25,"Μαγγανιο","Mn","Manganese"
26,"Σιδηρος","Fe","Iron"
27,"Κοβαλτιο","Co","Cobalt"
28,"Νικελιο","Ni","Nickel"
29,"Χαλκος","Cu","Copper"
30,"Ψευdαργυρος","Zn","Zinc"
31,"Γαλλιο","Ga","Gallium"
32,"Γερμανιο","Ge","Germanium"
33,"Αρσενικο","As","Arsenic"
34,"Σεληνιο","Se","Selenium"
35,"Βρωμιο","Br","Bromine"
36,"Κρυπτο","Kr","Krypton"
37,"Ρουβιdιο","Rb","Rubidium"
38,"Στροντιο","Sr","Strontium"
39,"Υττριο","Y","Yttrium"
40,"Ζιρκονιο","Zr","Zirconium"
41,"Νιοβιο","Nb","Niobium"
42,"Μολυβδενιο","Mo","Molybdenum"
43,"Τεχνητιο","Tc","Technetium"
44,"Ρουθηνιο","Ru","Ruthenium"
45,"Ροδιο","Rh","Rhodium"
46,"Παλλαδιο","Pd","Palladium"
47,"Αργυρος","Ag","Silver"
48,"Καδμιο","Cd","Cadmium"
49,"Ινδιο","In","Indium"
50,"Κασσιτερος","Sn","Tin"
51,"Αντιμονιο","Sb","Antimony"
52,"Τελλουριο","Te","Tellurium"
53,"Ιωδιο","I","Iodine"
54,"Ξενο","Xe","Xenon"
55,"Καισιο","Cs","Cesium"
56,"Βαριο","Ba","Barium"
57,"Λανθανιο","La","Lanthanum"
58,"Δημητριο","Ce","Cerium"
59,"Πρασεοδυμιο","Pr","Praseodymium"
60,"Νεοδυμιο","Nd","Neodymium"
61,"Προμηθειο","Pm","Promethium"
62,"Σαμαριο","Sm","Samarium"
63,"Ευρωπιο","Eu","Europium"
64,"Γαδολινιο","Gd","Gadolinium"
65,"Τερβιο","Tb","Terbium"
66,"Δυσπροσιο","Dy","Dysprosium"
67,"Όλμιο","Ho","Holmium"
68,"Ερβιο","Er","Erbium"
69,"Θουλιο","Tm","Thulium"
70,"Υττερβιο","Yb","Ytterbium"
71,"Λουτετσιο","Lu","Lutetium"
72,"Άφνιο","Hf","Hafnium"
73,"Τανταλιο","Ta","Tantalum"
74,"Βολφραμιο","W","Tungsten"
75,"Ρηνιο","Re","Rhenium"
76,"Οσμιο","Os","Osmium"
77,"Ιριδιο","Ir","Iridium"
78,"Λευκοχρυσος","Pt","Platinum"
79,"Χρυσος","Au","Gold"
80,"Ύδραργυρος","Hg","Mercury"
81,"Θαλλιο","Tl","Thallium"
82,"Μολυβδος","Pb","Lead"
83,"Βισμουθιο","Bi","Bismuth"
84,"Πολωνιο","Po","Polonium"
85,"Αστατο","At","Astatine"
86,"Ραδονιο","Rn","Radon"
87,"Φραγκιο","Fr","Francium"
88,"Ραδιο","Ra","Radium"
89,"Ακτινιο","Ac","Actinium"
90,"Θοριο","Th","Thorium"
91,"Πρωτακτινιο","Pa","Protactinium"
92,"Ουρανιο","U","Uranium"
93,"Ποσeιδωνιο","Np","Neptunium"
94,"Πλουτωνιο","Pu","Plutonium"
95,"Αμερικιο","Am","Americium"
96,"Κιουριο","Cm","Curium"
97,"Μπερκελιο","Bk","Berkelium"
98,"Καλιφορνιο","Cf","Californium"
99,"Αινστανιο","Es","Einsteinium"
100,"Φερμιο","Fm","Fermium"
101,"Μεντελεβιο","Md","Mendelevium"
102,"Νομπελιο","No","Nobelium"
103,"Λωρεντσιο","Lr","Lawrencium"
104,"Ραδερφόρντιο","Rf","Rutherfordium"
105,"Ντούμπνιο","Db","Dubnium"
106,"Σιμπόργκιο","Sg","Seaborgium"
107,"Μπόριο","Bh","Bohrium"
108,"Χάσιο","Hs","Hassium"
109,"Μαϊτνέριο","Mt","Meitnerium"
110,"Νταρμστάντιο","Ds","Darmstadtium"
111,"Ρεντγκένιο","Rg","Roentgenium"
112,"Κοπερνίκιο","Cn","Copernicium"
113,"Ουνούντριο","Nh","Nihonium"
114,"Φλερόβιο","Fl","Flerovium"
115,"Ουνουπέντιο","Mc","Moscovium"
116,"Λιβερμόριο","Lv","Livermorium"
117,"Ουνουσέπτιο","Ts","Tennessine"
118,"Ουνουνόκτιο","Og","Oganesson"
