"Index","Name","Abbreviation","StandardName","Pronunciation"
"1","水素","H","Hydrogen","Suiso"
"2","ヘリウム","He","Helium","Heriumu"
"3","リチウム","Li","Lithium","Richiumu"
"4","ベリリウム","Be","Beryllium","Beririumu"
"5","ホウ素","B","Boron","Houso"
"6","炭素","C","Carbon","Tanso"
"7","窒素","N","Nitrogen","Chisso"
"8","酸素","O","Oxygen","Sanso"
"9","フッ素","F","Fluorine","Fusso"
"10","ネオン","Ne","Neon","Neon"
"11","ナトリウム","Na","Sodium","Natoriumu"
"12","マグネシウム","Mg","Magnesium","Maguneshiumu"
"13","アルミニウム","Al","Aluminum","Aruminiumu"
"14","ケイ素","Si","Silicon","Keiso"
"15","リン","P","Phosphorus","Rin"
"16","硫黄","S","Sulfur","Iou"
"17","塩素","Cl","Chlorine","Enso"
"18","アルゴン","Ar","Argon","Arugon"
"19","カリウム","K","Potassium","Kariumu"
"20","カルシウム","Ca","Calcium","Karushiumu"
"21","スカンジウム","Sc","Scandium","Sukanjiumu"
"22","チタン","Ti","Titanium","Chitan"
"23","バナジウム","V","Vanadium","Banajiumu"
"24","クロム","Cr","Chromium","Kuromu"
"25","マンガン","Mn","Manganese","Mangan"
"26","鉄","Fe","Iron","Tetsu"
"27","コバルト","Co","Cobalt","Kobaruto"
"28","ニッケル","Ni","Nickel","Nikkeru"
"29","銅","Cu","Copper","Dou"
"30","亜鉛","Zn","Zinc","Aen"
"31","ガリウム","Ga","Gallium","Gariumu"
"32","ゲルマニウム","Ge","Germanium","Gerumaniumu"
"33","ヒ素","As","Arsenic","Hiso"
"34","セレン","Se","Selenium","Seren"
"35","臭素","Br","Bromine","Shuso"
"36","クリプトン","Kr","Krypton","Kuriputon"
"37","ルビジウム","Rb","Rubidium","Rubijiumu"
"38","ストロンチウム","Sr","Strontium","Sutoronchiumu"
"39","イットリウム","Y","Yttrium","Ittoriumu"
"40","ジルコニウム","Zr","Zirconium","Jirukoniumu"
"41","ニオブ","Nb","Niobium","Niobu"
"42","モリブデン","Mo","Molybdenum","Moribuden"
"43","テクネチウム","Tc","Technetium","Tekunechiumu"
"44","ルテニウム","Ru","Ruthenium","Ruteniumu"
"45","ロジウム","Rh","Rhodium","Rojiumu"
"46","パラジウム","Pd","Palladium","Parajiumu"
"47","銀","Ag","Silver","Gin"
"48","カドミウム","Cd","Cadmium","Kadomiumu"
"49","インジウム","In","Indium","Injiumu"
"50","スズ","Sn","Tin","Suzu"
"51","アンチモン","Sb","Antimony","Anchimon"
"52","テルル","Te","Tellurium","Teruru"
"53","ヨウ素","I","Iodine","You"
"54","キセノン","Xe","Xenon","Kisenon"
"55","セシウム","Cs","Cesium","Seshiumu"
"56","バリウム","Ba","Barium","Bariumu"
"57","ランタン","La","Lanthanum","Rantan"
"58","セリウム","Ce","Cerium","Seriumu"
"59","プラセオジム","Pr","Praseodymium","Puraseojimu"
"60","ネオジム","Nd","Neodymium","Neojimu"
"61","プロメチウム","Pm","Promethium","Puromechiumu"
"62","サマリウム","Sm","Samarium","Samariumu"
"63","ユウロピウム","Eu","Europium","Yuropiumu"
"64","ガドリニウム","Gd","Gadolinium","Gadoriniumu"
"65","テルビウム","Tb","Terbium","Terubiumu"
"66","ジスプロシウム","Dy","Dysprosium","Jisupuroshiumu"
"67","ホルミウム","Ho","Holmium","Horumiumu"
"68","エルビウム","Er","Erbium","Erubiumu"
"69","ツリウム","Tm","Thulium","Tsuriumu"
"70","イッテルビウム","Yb","Ytterbium","Itterubiumu"
"71","ルテチウム","Lu","Lutetium","Rutechiumu"
"72","ハフニウム","Hf","Hafnium","Hafuniumu"
"73","タンタル","Ta","Tantalum","Tantaru"
"74","タングステン","W","Tungsten","Tangusuten"
"75","レニウム","Re","Rhenium","Reniumu"
"76","オスミウム","Os","Osmium","Osumiumu"
"77","イリジウム","Ir","Iridium","Irijiumu"
"78","白金","Pt","Platinum","Shirogane"
"79","金","Au","Gold","Kin"
"80","水銀","Hg","Mercury","Suigin"
"81","タリウム","Tl","Thallium","Tariumu"
"82","鉛","Pb","Lead","Namari"
"83","ビスマス","Bi","Bismuth","Bisumasu"
"84","ポロニウム","Po","Polonium","Poroniumu"
"85","アスタチン","At","Astatine","Asutachin"
"86","ラドン","Rn","Radon","Radon"
"87","フランシウム","Fr","Francium","Furanshiumu"
"88","ラジウム","Ra","Radium","Rajiumu"
"89","アクチニウム","Ac","Actinium","Akuchiniumu"
"90","トリウム","Th","Thorium","Toriumu"
"91","プロトアクチニウム","Pa","Protactinium","Purotoakuchiniumu"
"92","ウラン","U","Uranium","Uran"
"93","ネプツニウム","Np","Neptunium","Neputsuniumu"
"94","プルトニウム","Pu","Plutonium","Purutoniumu"
"95","アメリシウム","Am","Americium","Amerishiumu"
"96","キュリウム","Cm","Curium","Kyuriumu"
"97","バークリウム","Bk","Berkelium","Bakuriumu"
"98","カリホルニウム","Cf","Californium","Karihoruniumu"
"99","アインスタイニウム","Es","Einsteinium","Ainsutainiumu"
"100","フェルミウム","Fm","Fermium","Ferumiumu"
"101","メンデレビウム","Md","Mendelevium","Menderebiumu"
"102","ノーベリウム","No","Nobelium","Nouberiumu"
"103","ローレンシウム","Lr","Lawrencium","Rourenshiumu"
"104","ラザホージウム","Rf","Rutherfordium","Razahoujiumu"
"105","ドブニウム","Db","Dubnium","Dobuniumu"
"106","シーボーギウム","Sg","Seaborgium","Shibougiumu"
"107","ボーリウム","Bh","Bohrium","Bouriumu"
"108","ハッシウム","Hs","Hassium","Hasshiumu"
"109","マイトネリウム","Mt","Meitnerium","Maitoneriumu"
"110","ダームスタチウム","Ds","Darmstadtium","Damusutachiumu"
"111","レントゲニウム","Rg","Roentgenium","Rentogeniumu"
"112","コペルニシウム","Cn","Copernicium","Koperunishiumu"
"113","ニホニウム","Nh","Nihonium","Nihoniumu"
"114","フレロビウム","Fl","Flerovium","Furerobiumu"
"115","モスコビウム","Mc","Moscovium","Mosukobiumu"
"116","リバモリウム","Lv","Livermorium","Ribamoriumu"
"117","テネシン","Ts","Tennessine","Teneshin"
"118","オガネソン","Og","Oganesson","Oganeson"
