"Index","Name","Abbreviation","StandardName"
1,"수소","H","Hydrogen"
2,"헬륨","He","Helium"
3,"리튬","Li","Lithium"
4,"베릴륨","Be","Beryllium"
5,"붕소","B","Boron"
6,"탄소","C","Carbon"
7,"질소","N","Nitrogen"
8,"산소","O","Oxygen"
9,"플루오르","F","Fluorine"
10,"네온","Ne","Neon"
11,"나트륨, 2 소듐","Na","Sodium"
12,"마그네슘","Mg","Magnesium"
13,"알루미늄","Al","Aluminum"
14,"규소","Si","Silicon"
15,"인","P","Phosphorus"
16,"황","S","Sulfur"
17,"염소","Cl","Chlorine"
18,"아르곤","Ar","Argon"
19,"칼륨, 2 포타슘","K","Potassium"
20,"칼슘","Ca","Calcium"
21,"스칸듐","Sc","Scandium"
22,"타이타늄, 타타늄, 타탄","Ti","Titanium"
23,"바나듐","V","Vanadium"
24,"크롬, 2 크로뮴","Cr","Chromium"
25,"망간, 2 망가니즈","Mn","Manganese"
26,"철","Fe","Iron"
27,"코발트","Co","Cobalt"
28,"니켈","Ni","Nickel"
29,"구리","Cu","Copper"
30,"아연","Zn","Zinc"
31,"갈륨","Ga","Gallium"
32,"게르마늄, 2 저마늄","Ge","Germanium"
33,"비소","As","Arsenic"
34,"셀렌, 2 셀레늄","Se","Selenium"
35,"브롬, 2 브로민","Br","Bromine"
36,"크립톤","Kr","Krypton"
37,"루비듐","Rb","Rubidium"
38,"스트논듐 or 스트론튬","Sr","Strontium"
39,"이트륨","Y","Yttrium"
40,"지르코늄","Zr","Zirconium"
41,"나이오븀,니오븀, 니오브","Nb","Niobium"
42,"몰리브덴, 2 몰리브덴넘","Mo","Molybdenum"
43,"테크네튬","Tc","Technetium"
44,"루테늄","Ru","Ruthenium"
45,"로듐","Rh","Rhodium"
46,"팔라듐","Pd","Palladium"
47,"은","Ag","Silver"
48,"카드뮴","Cd","Cadmium"
49,"인듐","In","Indium"
50,"주석","Sn","Tin"
51,"안티몬, 2 안티모니","Sb","Antimony"
52,"텔루르, 2 텔루륨","Te","Tellurium"
53,"요오드, 2 아이오딘","I","Iodine"
54,"크세논, 2 제논","Xe","Xenon"
55,"세슘","Cs","Cesium"
56,"바륨","Ba","Barium"
57,"란탄, 2 란타넘","La","Lanthanum"
58,"세륨","Ce","Cerium"
59,"프라세오디뮴","Pr","Praseodymium"
60,"네오디뮴","Nd","Neodymium"
61,"프로메튬","Pm","Promethium"
62,"사마륨","Sm","Samarium"
63,"유로퓸","Eu","Europium"
64,"가돌리늄","Gd","Gadolinium"
65,"테르븀, 2 터븀","Tb","Terbium"
66,"디스프로슘","Dy","Dysprosium"
67,"홀뮴","Ho","Holmium"
68,"에르븀, 2 어븀","Er","Erbium"
69,"툴륨","Tm","Thulium"
70,"이테르븀, 2 이터븀","Yb","Ytterbium"
71,"루테튬","Lu","Lutetium"
72,"하프늄","Hf","Hafnium"
73,"탄탈, 2 탄탈럼","Ta","Tantalum"
74,"텅스텐","W","Tungsten"
75,"레늄","Re","Rhenium"
76,"오스뮴","Os","Osmium"
77,"이리듐","Ir","Iridium"
78,"백금","Pt","Platinum"
79,"금","Au","Gold"
80,"수은","Hg","Mercury"
81,"탈륨","Tl","Thallium"
82,"납","Pb","Lead"
83,"비스무트","Bi","Bismuth"
84,"폴로늄","Po","Polonium"
85,"아스타틴","At","Astatine"
86,"라돈","Rn","Radon"
87,"프랑슘","Fr","Francium"
88,"라듐","Ra","Radium"
89,"악티늄","Ac","Actinium"
90,"토륨","Th","Thorium"
91,"프로트악티늄 or 프로탁티늄","Pa","Protactinium"
92,"우라늄","U","Uranium"
93,"넵투늄","Np","Neptunium"
94,"플루토늄","Pu","Plutonium"
95,"아메리슘","Am","Americium"
96,"퀴륨","Cm","Curium"
97,"버클륨","Bk","Berkelium"
98,"칼리포르늄 or 칼리포늄","Cf","Californium"
99,"아인시타이늄 or 아인슈타이늄","Es","Einsteinium"
100,"페르뮴","Fm","Fermium"
101,"멘델레븀","Md","Mendelevium"
102,"노벨륨","No","Nobelium"
103,"로렌슘","Lr","Lawrencium"
104,"러더포듐","Rf","Rutherfordium"
105,"더브늄","Db","Dubnium"
106,"새보쥼","Sg","Seaborgium"
107,"보륨","Bh","Bohrium"
108,"하슘","Hs","Hassium"
109,"마이트너륨","Mt","Meitnerium"
110,"다름슈타튬","Ds","Darmstadtium"
111,"뢴트게늄","Rg","Roentgenium"
112,"코페르니슘","Cn","Copernicium"
113,"우눈트륨","Nh","Nihonium"
114,"플레로븀","Fl","Flerovium"
115,"우눈펜튬","Mc","Moscovium"
116,"리버모륨","Lv","Livermorium"
117,"우눈셉튬","Ts","Tennessine"
118,"우누녹튬","Og","Oganesson"
