"Index","Name","Abbreviation","StandardName"
1,"هیدروژن ","H","Hydrogen"
2,"هلیم ","He","Helium"
3,"لیتیم ","Li","Lithium"
4,"بریلیوم ","Be","Beryllium"
5,"بور ","B","Boron"
6,"کربن ","C","Carbon"
7,"نیتروژن ","N","Nitrogen"
8,"اکسیژن ","O","Oxygen"
9,"فلوئور ","F","Fluorine"
10,"نئون ","Ne","Neon"
11,"سدیم ","Na","Sodium"
12,"منیزیم ","Mg","Magnesium"
13,"آلومینیم ","Al","Aluminum"
14,"سیلیسیم ","Si","Silicon"
15,"فسفر ","P","Phosphorus"
16,"گوگرد ","S","Sulfur"
17,"کلر ","Cl","Chlorine"
18,"آرگون ","Ar","Argon"
19,"پتاسیم ","K","Potassium"
20,"کلسیم ","Ca","Calcium"
21,"اسکاندیم ","Sc","Scandium"
22,"تیتانیم ","Ti","Titanium"
23,"وانادیم ","V","Vanadium"
24,"کروم ","Cr","Chromium"
25,"منگنز ","Mn","Manganese"
26,"آهن ","Fe","Iron"
27,"کبالت ","Co","Cobalt"
28,"نیکل ","Ni","Nickel"
29,"مس ","Cu","Copper"
30,"روی ","Zn","Zinc"
31,"گالیم ","Ga","Gallium"
32,"ژرمانیم ","Ge","Germanium"
33,"آرسنیک ","As","Arsenic"
34,"سلنیم ","Se","Selenium"
35,"برم ","Br","Bromine"
36,"کریپتون ","Kr","Krypton"
37,"روبیدیم ","Rb","Rubidium"
38,"استرونسیم ","Sr","Strontium"
39,"ایتریم ","Y","Yttrium"
40,"زیرکونیم ","Zr","Zirconium"
41,"نیوبیم ","Nb","Niobium"
42,"مولیبدن ","Mo","Molybdenum"
43,"تکنسیم ","Tc","Technetium"
44,"رادنیم ","Ru","Ruthenium"
45,"رودیم ","Rh","Rhodium"
46,"پالادیم ","Pd","Palladium"
47,"نقره ","Ag","Silver"
48,"کادمیم ","Cd","Cadmium"
49,"ایندیم ","In","Indium"
50,"قلع ","Sn","Tin"
51,"آنتیموان ","Sb","Antimony"
52,"تلوریم ","Te","Tellurium"
53,"ید ","I","Iodine"
54,"گزنون ","Xe","Xenon"
55,"سزیم ","Cs","Cesium"
56,"باریم ","Ba","Barium"
57,"لانتانوم ","La","Lanthanum"
58,"سریم ","Ce","Cerium"
59,"پرازئودیمیم ","Pr","Praseodymium"
60,"نئودیمیم ","Nd","Neodymium"
61,"پرومتیم ","Pm","Promethium"
62,"ساماریم ","Sm","Samarium"
63,"یوروپیم ","Eu","Europium"
64,"گادولینیم ","Gd","Gadolinium"
65,"تربیم ","Tb","Terbium"
66,"دیسپروزیم ","Dy","Dysprosium"
67,"هولمیم ","Ho","Holmium"
68,"اربیم ","Er","Erbium"
69,"تولیم ","Tm","Thulium"
70,"ایتربیم ","Yb","Ytterbium"
71,"لوتتیم ","Lu","Lutetium"
72,"هافنیم ","Hf","Hafnium"
73,"تانتالوم ","Ta","Tantalum"
74,"تنگستن ","W","Tungsten"
75,"رنیم ","Re","Rhenium"
76,"اوسمیم ","Os","Osmium"
77,"ایریدیم ","Ir","Iridium"
78,"پلاتین ","Pt","Platinum"
79,"طلا ","Au","Gold"
80,"جیوه ","Hg","Mercury"
81,"تالیم ","Tl","Thallium"
82,"سرب ","Pb","Lead"
83,"بیسموت ","Bi","Bismuth"
84,"پولونیم ","Po","Polonium"
85,"آستاتین ","At","Astatine"
86,"رادون ","Rn","Radon"
87,"فرانسیم ","Fr","Francium"
88,"رادیم ","Ra","Radium"
89,"آکتینیم ","Ac","Actinium"
90,"توریم ","Th","Thorium"
91,"پروتاکتینیم ","Pa","Protactinium"
92,"اورانیم ","U","Uranium"
93,"نپتونیم ","Np","Neptunium"
94,"پلوتونیم ","Pu","Plutonium"
95,"امریسیم ","Am","Americium"
96,"کوریم ","Cm","Curium"
97,"برکلیم ","Bk","Berkelium"
98,"کالیفورنیم ","Cf","Californium"
99,"اینشتینیم ","Es","Einsteinium"
100,"فرمیم ","Fm","Fermium"
101,"مندلیفیم ","Md","Mendelevium"
102,"نوبلیم ","No","Nobelium"
103,"لاورنسیم ","Lr","Lawrencium"
104,"رادرفوردیم ","Rf","Rutherfordium"
105,"دابنیم ","Db","Dubnium"
106,"سیبورگیم ","Sg","Seaborgium"
107,"بوریم ","Bh","Bohrium"
108,"هاسیم ","Hs","Hassium"
109,"میتنریم ","Mt","Meitnerium"
110,"دارمشتاتیم ","Ds","Darmstadtium"
111,"رونتگنیوم ","Rg","Roentgenium"
112,"کوپرنیسیم ","Cn","Copernicium"
113,"آن‌ان‌تریوم ","Nh","Nihonium"
114,"فلروویوم ","Fl","Flerovium"
115,"آن‌ان‌پنتیوم ","Mc","Moscovium"
116,"لیورموریوم ","Lv","Livermorium"
117,"آن‌ان‌سپتیوم ","Ts","Tennessine"
118,"آن‌ان‌اکتیوم ","Og","Oganesson"
