"Index","Name","Abbreviation","StandardName"
1,"Wodór","H","Hydrogen"
2,"Hel","He","Helium"
3,"Lit","Li","Lithium"
4,"Beryl","Be","Beryllium"
5,"Bor","B","Boron"
6,"Węgiel","C","Carbon"
7,"Azot","N","Nitrogen"
8,"Tlen","O","Oxygen"
9,"Fluor","F","Fluorine"
10,"Neon","Ne","Neon"
11,"Sód","Na","Sodium"
12,"Magnez","Mg","Magnesium"
13,"Glin","Al","Aluminum"
14,"Krzem","Si","Silicon"
15,"Fosfor","P","Phosphorus"
16,"Siarka","S","Sulfur"
17,"Chlor","Cl","Chlorine"
18,"Argon","Ar","Argon"
19,"Potas","K","Potassium"
20,"Wapń","Ca","Calcium"
21,"Skand","Sc","Scandium"
22,"Tytan","Ti","Titanium"
23,"Wanad","V","Vanadium"
24,"Chrom","Cr","Chromium"
25,"Mangan","Mn","Manganese"
26,"Żelazo","Fe","Iron"
27,"Kobalt","Co","Cobalt"
28,"Nikiel","Ni","Nickel"
29,"Miedź","Cu","Copper"
30,"Cynk","Zn","Zinc"
31,"Gal","Ga","Gallium"
32,"German","Ge","Germanium"
33,"Arsen","As","Arsenic"
34,"Selen","Se","Selenium"
35,"Brom","Br","Bromine"
36,"Krypton","Kr","Krypton"
37,"Rubid","Rb","Rubidium"
38,"Stront","Sr","Strontium"
39,"Itr","Y","Yttrium"
40,"Cyrkon","Zr","Zirconium"
41,"Niob","Nb","Niobium"
42,"Molibden","Mo","Molybdenum"
43,"Technet","Tc","Technetium"
44,"Ruten","Ru","Ruthenium"
45,"Rod","Rh","Rhodium"
46,"Pallad","Pd","Palladium"
47,"Srebro","Ag","Silver"
48,"Kadm","Cd","Cadmium"
49,"Ind","In","Indium"
50,"Cyna","Sn","Tin"
51,"Antymon","Sb","Antimony"
52,"Tellur","Te","Tellurium"
53,"Jod","I","Iodine"
54,"Ksenon","Xe","Xenon"
55,"Cez","Cs","Cesium"
56,"Bar","Ba","Barium"
57,"Lantan","La","Lanthanum"
58,"Cer","Ce","Cerium"
59,"Prazeodym","Pr","Praseodymium"
60,"Neodym","Nd","Neodymium"
61,"Promet","Pm","Promethium"
62,"Samar","Sm","Samarium"
63,"Europ","Eu","Europium"
64,"Gadolin","Gd","Gadolinium"
65,"Terb","Tb","Terbium"
66,"Dyspoz","Dy","Dysprosium"
67,"Holm","Ho","Holmium"
68,"Erb","Er","Erbium"
69,"Tul","Tm","Thulium"
70,"Iterb","Yb","Ytterbium"
71,"Lutet","Lu","Lutetium"
72,"Hafn","Hf","Hafnium"
73,"Tantal","Ta","Tantalum"
74,"Wolfram","W","Tungsten"
75,"Ren","Re","Rhenium"
76,"Osm","Os","Osmium"
77,"Iryd","Ir","Iridium"
78,"Platyna","Pt","Platinum"
79,"Złoto","Au","Gold"
80,"Rtęć","Hg","Mercury"
81,"Tal","Tl","Thallium"
82,"Ołów","Pb","Lead"
83,"Bizmut","Bi","Bismuth"
84,"Polon","Po","Polonium"
85,"Astat","At","Astatine"
86,"Radon","Rn","Radon"
87,"Frans","Fr","Francium"
88,"Rad","Ra","Radium"
89,"Aktyn","Ac","Actinium"
90,"Tor","Th","Thorium"
91,"Proaktyn","Pa","Protactinium"
92,"Uran","U","Uranium"
93,"Neptun","Np","Neptunium"
94,"Pluton","Pu","Plutonium"
95,"Ameryk","Am","Americium"
96,"Kiur","Cm","Curium"
97,"Bekerel","Bk","Berkelium"
98,"Kaliforn","Cf","Californium"
99,"Einstein","Es","Einsteinium"
100,"Ferm","Fm","Fermium"
101,"Mendelew","Md","Mendelevium"
102,"Nobel","No","Nobelium"
103,"Lorens","Lr","Lawrencium"
104,"Rutherford","Rf","Rutherfordium"
105,"Dubn","Db","Dubnium"
106,"Seaborg","Sg","Seaborgium"
107,"Bohr","Bh","Bohrium"
108,"Has","Hs","Hassium"
109,"Meitner","Mt","Meitnerium"
110,"Darmsztadt","Ds","Darmstadtium"
111,"Roentgen","Rg","Roentgenium"
112,"Kopernik","Cn","Copernicium"
113,"Nihonium","Nh","Nihonium"
114,"Flerovium","Fl","Flerovium"
115,"Moscovium","Mc","Moscovium"
116,"Livermorium","Lv","Livermorium"
117,"Tennessine","Ts","Tennessine"
118,"Oganesson","Og","Oganesson"
