"Index","Name","Abbreviation","StandardName"
1,"Hidrogéno","H","Hydrogen"
2,"Hélio","He","Helium"
3,"Lítio","Li","Lithium"
4,"Berílio","Be","Beryllium"
5,"Boro","B","Boron"
6,"Carbono","C","Carbon"
7,"Nitrogénio","N","Nitrogen"
8,"Oxigénio","O","Oxygen"
9,"Flúor","F","Fluorine"
10,"Néon","Ne","Neon"
11,"Sódio","Na","Sodium"
12,"Magnésio","Mg","Magnesium"
13,"Alumínio","Al","Aluminum"
14,"Silício","Si","Silicon"
15,"Fósforo","P","Phosphorus"
16,"Enxofre","S","Sulfur"
17,"Cloro","Cl","Chlorine"
18,"Argon","Ar","Argon"
19,"Potássio","K","Potassium"
20,"Cálcio","Ca","Calcium"
21,"Escândio","Sc","Scandium"
22,"Titânio","Ti","Titanium"
23,"Vanádio","V","Vanadium"
24,"Crómo","Cr","Chromium"
25,"Manganésio","Mn","Manganese"
26,"Ferro","Fe","Iron"
27,"Cobalto","Co","Cobalt"
28,"Níquel","Ni","Nickel"
29,"Cobre","Cu","Copper"
30,"Zinco","Zn","Zinc"
31,"Gálio","Ga","Gallium"
32,"Germânio","Ge","Germanium"
33,"Arsénic","As","Arsenic"
34,"Selénio","Se","Selenium"
35,"Bromo","Br","Bromine"
36,"Krípton","Kr","Krypton"
37,"Rubídio","Rb","Rubidium"
38,"Estrôncio","Sr","Strontium"
39,"Itrio","Y","Yttrium"
40,"Zircónio","Zr","Zirconium"
41,"Nióbio","Nb","Niobium"
42,"Molibdénio","Mo","Molybdenum"
43,"Tecnécio","Tc","Technetium"
44,"Ruténio","Ru","Ruthenium"
45,"Ródio","Rh","Rhodium"
46,"Paládio","Pd","Palladium"
47,"Prata","Ag","Silver"
48,"Cádmio","Cd","Cadmium"
49,"Índio","In","Indium"
50,"Estanho","Sn","Tin"
51,"Antimónio","Sb","Antimony"
52,"Telúrio","Te","Tellurium"
53,"Iodo","I","Iodine"
54,"Xénon","Xe","Xenon"
55,"Césio","Cs","Cesium"
56,"Bário","Ba","Barium"
57,"Lantâno","La","Lanthanum"
58,"Cério","Ce","Cerium"
59,"Praseodímio","Pr","Praseodymium"
60,"Neodímio","Nd","Neodymium"
61,"Promécio","Pm","Promethium"
62,"Samário","Sm","Samarium"
63,"Európio","Eu","Europium"
64,"Gadolínio","Gd","Gadolinium"
65,"Térbio","Tb","Terbium"
66,"Disprósio","Dy","Dysprosium"
67,"Hólmio","Ho","Holmium"
68,"Érbio","Er","Erbium"
69,"Túlio","Tm","Thulium"
70,"Itérbio","Yb","Ytterbium"
71,"Lutécio","Lu","Lutetium"
72,"Háfnio","Hf","Hafnium"
73,"Tântalo","Ta","Tantalum"
74,"Tungsténio","W","Tungsten"
75,"Rénio","Re","Rhenium"
76,"Ósmio","Os","Osmium"
77,"Irídio","Ir","Iridium"
78,"Platina","Pt","Platinum"
79,"Ouro","Au","Gold"
80,"Mercúrio","Hg","Mercury"
81,"Tálio","Tl","Thallium"
82,"Chumbo","Pb","Lead"
83,"Bismuto","Bi","Bismuth"
84,"Polónio","Po","Polonium"
85,"Astato","At","Astatine"
86,"Rádon","Rn","Radon"
87,"Frâncio","Fr","Francium"
88,"Rádio","Ra","Radium"
89,"Actínio","Ac","Actinium"
90,"Tório","Th","Thorium"
91,"Protacnídio","Pa","Protactinium"
92,"Urânio","U","Uranium"
93,"Neptúnio","Np","Neptunium"
94,"Plutónio","Pu","Plutonium"
95,"Amerício","Am","Americium"
96,"Cúrio","Cm","Curium"
97,"Berqueélio","Bk","Berkelium"
98,"Califórnio","Cf","Californium"
99,"Einstânio","Es","Einsteinium"
100,"Férmio","Fm","Fermium"
101,"Mendelévio","Md","Mendelevium"
102,"Nobélio","No","Nobelium"
103,"Lawrêncio","Lr","Lawrencium"
104,"Rutherfórdio","Rf","Rutherfordium"
105,"Dúbnio","Db","Dubnium"
106,"Seabórgio","Sg","Seaborgium"
107,"Bóhrio","Bh","Bohrium"
108,"Hássio","Hs","Hassium"
109,"Meitnério","Mt","Meitnerium"
110,"Darmstádio","Ds","Darmstadtium"
111,"Roentgênio","Rg","Roentgenium"
112,"Copernício","Cn","Copernicium"
113,"Nihonium","Nh","Nihonium"
114,"Fleróvio","Fl","Flerovium"
115,"Moscovio","Mc","Moscovium"
116,"Livermório","Lv","Livermorium"
117,"Tennessine","Ts","Tennessine"
118,"Oganesson","Og","Oganesson"
