"Index","Name","Abbreviation","StandardName"
1,"Водород","H","Hydrogen"
2,"Гелий","He","Helium"
3,"Литий","Li","Lithium"
4,"Бериллий","Be","Beryllium"
5,"Бор","B","Boron"
6,"Углерод","C","Carbon"
7,"Азот","N","Nitrogen"
8,"Кислород","O","Oxygen"
9,"Фтор","F","Fluorine"
10,"Неон","Ne","Neon"
11,"Натрий","Na","Sodium"
12,"Магний","Mg","Magnesium"
13,"Алюминий","Al","Aluminum"
14,"Кремний","Si","Silicon"
15,"Фосфор","P","Phosphorus"
16,"Сера","S","Sulfur"
17,"Хлор","Cl","Chlorine"
18,"Аргон","Ar","Argon"
19,"Калий","K","Potassium"
20,"Кальций","Ca","Calcium"
21,"Скандий","Sc","Scandium"
22,"Титан","Ti","Titanium"
23,"Ванадий","V","Vanadium"
24,"Хром","Cr","Chromium"
25,"Марганец","Mn","Manganese"
26,"Железо","Fe","Iron"
27,"Кобальт","Co","Cobalt"
28,"Никель","Ni","Nickel"
29,"Медь","Cu","Copper"
30,"Цинк","Zn","Zinc"
31,"Галлий","Ga","Gallium"
32,"Германий","Ge","Germanium"
33,"Мышьяк","As","Arsenic"
34,"Селен","Se","Selenium"
35,"Бром","Br","Bromine"
36,"Криптон","Kr","Krypton"
37,"Рубидий","Rb","Rubidium"
38,"Стронций","Sr","Strontium"
39,"Иттрий","Y","Yttrium"
40,"Цирконий","Zr","Zirconium"
41,"Ниобий","Nb","Niobium"
42,"Молибден","Mo","Molybdenum"
43,"Технеций","Tc","Technetium"
44,"Рутений","Ru","Ruthenium"
45,"Родий","Rh","Rhodium"
46,"Палладий","Pd","Palladium"
47,"Серебро","Ag","Silver"
48,"Кадмий","Cd","Cadmium"
49,"Индий","In","Indium"
50,"Олово","Sn","Tin"
51,"Сурьма","Sb","Antimony"
52,"Теллур","Te","Tellurium"
53,"Иод","I","Iodine"
54,"Ксенон","Xe","Xenon"
55,"Цезий","Cs","Cesium"
56,"Барий","Ba","Barium"
57,"Лантан","La","Lanthanum"
58,"Церий","Ce","Cerium"
59,"Празеодим","Pr","Praseodymium"
60,"Неодим","Nd","Neodymium"
61,"Прометий","Pm","Promethium"
62,"Самарий","Sm","Samarium"
63,"Европий","Eu","Europium"
64,"Гадолиний","Gd","Gadolinium"
65,"Тербий","Tb","Terbium"
66,"Диспрозий","Dy","Dysprosium"
67,"Гольмий","Ho","Holmium"
68,"Эрбий","Er","Erbium"
69,"Тулий","Tm","Thulium"
70,"Иттербий","Yb","Ytterbium"
71,"Лютеций","Lu","Lutetium"
72,"Гафний","Hf","Hafnium"
73,"Тантал","Ta","Tantalum"
74,"Вольфрам","W","Tungsten"
75,"Рений","Re","Rhenium"
76,"Осмий","Os","Osmium"
77,"Иридий","Ir","Iridium"
78,"Платина","Pt","Platinum"
79,"Золото","Au","Gold"
80,"Ртуть","Hg","Mercury"
81,"Таллий","Tl","Thallium"
82,"Свинец","Pb","Lead"
83,"Висмут","Bi","Bismuth"
84,"Полоний","Po","Polonium"
85,"Астат","At","Astatine"
86,"Радон","Rn","Radon"
87,"Франций","Fr","Francium"
88,"Радий","Ra","Radium"
89,"Актиний","Ac","Actinium"
90,"Торий","Th","Thorium"
91,"Протактиний","Pa","Protactinium"
92,"Уран","U","Uranium"
93,"Нептуний","Np","Neptunium"
94,"Плутоний","Pu","Plutonium"
95,"Америций","Am","Americium"
96,"Кюрий","Cm","Curium"
97,"Берклий","Bk","Berkelium"
98,"Калифорний","Cf","Californium"
99,"Эйнштейний","Es","Einsteinium"
100,"Фермий","Fm","Fermium"
101,"Менделевий","Md","Mendelevium"
102,"Нобелий","No","Nobelium"
103,"Лоуренсий","Lr","Lawrencium"
104,"Резерфордий","Rf","Rutherfordium"
105,"Дубний","Db","Dubnium"
106,"Сиборгий","Sg","Seaborgium"
107,"Борий","Bh","Bohrium"
108,"Хассий","Hs","Hassium"
109,"Мейтнерий","Mt","Meitnerium"
110,"Дармштадтий","Ds","Darmstadtium"
111,"Рентгений","Rg","Roentgenium"
112,"Коперниций","Cn","Copernicium"
113,"Нихоний","Nh","Nihonium"
114,"Флеровий","Fl","Flerovium"
115,"Московий","Mc","Moscovium"
116,"Ливерморий","Lv","Livermorium"
117,"Теннессин","Ts","Tennessine"
118,"Оганесон","Og","Oganesson"
