"Index","Name","Abbreviation","StandardName"
1,"Hidrógeno","H","Hydrogen"
2,"Helio","He","Helium"
3,"Litio","Li","Lithium"
4,"Berilio","Be","Beryllium"
5,"Boron","B","Boron"
6,"Carbono","C","Carbon"
7,"Nitrogen","N","Nitrogen"
8,"Oxígeno","O","Oxygen"
9,"Flúor","F","Fluorine"
10,"Neon","Ne","Neon"
11,"Sodio","Na","Sodium"
12,"Magnesio","Mg","Magnesium"
13,"Aluminum","Al","Aluminum"
14,"Silicon","Si","Silicon"
15,"Fósforo","P","Phosphorus"
16,"Azufre","S","Sulfur"
17,"Cloro","Cl","Chlorine"
18,"Argón","Ar","Argon"
19,"Potasio","K","Potassium"
20,"Calcio","Ca","Calcium"
21,"Escandio","Sc","Scandium"
22,"Titanio","Ti","Titanium"
23,"Vanadio","V","Vanadium"
24,"Cromo","Cr","Chromium"
25,"Manganeso","Mn","Manganese"
26,"Hierro","Fe","Iron"
27,"Cobalto","Co","Cobalt"
28,"Níquel","Ni","Nickel"
29,"Cobre","Cu","Copper"
30,"Zinc","Zn","Zinc"
31,"Galio","Ga","Gallium"
32,"Germanio","Ge","Germanium"
33,"Arsénico","As","Arsenic"
34,"Selenio","Se","Selenium"
35,"Bromo","Br","Bromine"
36,"Criptón","Kr","Krypton"
37,"Rubidio","Rb","Rubidium"
38,"Estroncio","Sr","Strontium"
39,"Itrio","Y","Yttrium"
40,"Circonio","Zr","Zirconium"
41,"Niobio","Nb","Niobium"
42,"Molibdeno","Mo","Molybdenum"
43,"Tecnecio","Tc","Technetium"
44,"Rutenio","Ru","Ruthenium"
45,"Rodio","Rh","Rhodium"
46,"Paladio","Pd","Palladium"
47,"Plata","Ag","Silver"
48,"Cadmio","Cd","Cadmium"
49,"Indio","In","Indium"
50,"Creer","Sn","Tin"
51,"Antimonio","Sb","Antimony"
52,"Telurio","Te","Tellurium"
53,"Yodo","I","Iodine"
54,"Xenon","Xe","Xenon"
55,"Cesio","Cs","Cesium"
56,"Bario","Ba","Barium"
57,"Lantano","La","Lanthanum"
58,"Cerio","Ce","Cerium"
59,"Praseodimio","Pr","Praseodymium"
60,"Neodimio","Nd","Neodymium"
61,"Prometio","Pm","Promethium"
62,"Samario","Sm","Samarium"
63,"Europio","Eu","Europium"
64,"Gadolinio","Gd","Gadolinium"
65,"Terbio","Tb","Terbium"
66,"Disprosio","Dy","Dysprosium"
67,"Holmio","Ho","Holmium"
68,"Erbio","Er","Erbium"
69,"Tulio","Tm","Thulium"
70,"Iterbio","Yb","Ytterbium"
71,"Lutecio","Lu","Lutetium"
72,"Hafnio","Hf","Hafnium"
73,"Tántalo","Ta","Tantalum"
74,"Tungsteno","W","Tungsten"
75,"Renio","Re","Rhenium"
76,"Osmio","Os","Osmium"
77,"Iridio","Ir","Iridium"
78,"Platino","Pt","Platinum"
79,"Oro","Au","Gold"
80,"Mercurio","Hg","Mercury"
81,"Talio","Tl","Thallium"
82,"Plomo","Pb","Lead"
83,"Bismuto","Bi","Bismuth"
84,"Polonio","Po","Polonium"
85,"Astato","At","Astatine"
86,"Radón","Rn","Radon"
87,"Francio","Fr","Francium"
88,"Radio","Ra","Radium"
89,"Actinio","Ac","Actinium"
90,"Torio","Th","Thorium"
91,"Protactinio","Pa","Protactinium"
92,"Uranio","U","Uranium"
93,"Neptunio","Np","Neptunium"
94,"Plutonio","Pu","Plutonium"
95,"Americio","Am","Americium"
96,"Curio","Cm","Curium"
97,"Berkelio","Bk","Berkelium"
98,"Californio","Cf","Californium"
99,"Einstenio","Es","Einsteinium"
100,"Fermio","Fm","Fermium"
101,"Mendelevio","Md","Mendelevium"
102,"Nobelio","No","Nobelium"
103,"Laurencio","Lr","Lawrencium"
104,"Rutherfordio","Rf","Rutherfordium"
105,"Dubnio","Db","Dubnium"
106,"Seaborgio","Sg","Seaborgium"
107,"Bohrio","Bh","Bohrium"
108,"Hassio","Hs","Hassium"
109,"Meitnerio","Mt","Meitnerium"
110,"Darmstadio","Ds","Darmstadtium"
111,"Roentgenio","Rg","Roentgenium"
112,"Copérnico","Cn","Copernicium"
113,"Nihonio","Nh","Nihonium"
114,"Flerovip","Fl","Flerovium"
115,"Moscovio","Mc","Moscovium"
116,"Livermorio","Lv","Livermorium"
117,"Tennesso","Ts","Tennessine"
118,"Oganesson","Og","Oganesson"
